temperature,x_m,y_m,z_m,x_mm,y_mm,z_mm,count,flag
28.1920944,-1.79E-05,4.08E-05,-1.57E-05,-0.017881393,0.040769577,-0.015735626,0,0
28.1920944,-1.79E-05,4.12E-05,-1.57E-05,-0.017881393,0.041246414,-0.015735626,1,0
28.1920944,-1.79E-05,4.15E-05,-1.60E-05,-0.017881393,0.041484833,-0.015974045,2,0
28.1920944,-1.79E-05,4.20E-05,-1.62E-05,-0.017881393,0.04196167,-0.016212463,3,0
28.1920944,-1.81E-05,4.24E-05,-1.62E-05,-0.018119812,0.042438507,-0.016212463,0,0
28.1920944,-1.84E-05,4.32E-05,-1.65E-05,-0.018358231,0.043153763,-0.016450882,1,0
28.1920944,-1.86E-05,4.36E-05,-1.67E-05,-0.018596649,0.0436306,-0.016689301,2,0
28.1920944,-1.86E-05,4.43E-05,-1.67E-05,-0.018596649,0.044345856,-0.016689301,3,0
28.1920944,-1.91E-05,4.51E-05,-1.69E-05,-0.019073486,0.045061111,-0.016927719,0,0
28.1920944,-1.93E-05,4.55E-05,-1.72E-05,-0.019311905,0.045537949,-0.017166138,1,0
28.1920944,-1.96E-05,4.63E-05,-1.76E-05,-0.019550323,0.046253204,-0.017642975,2,0
28.1920944,-1.96E-05,4.67E-05,-1.79E-05,-0.019550323,0.046730042,-0.017881393,3,0
28.1920944,-1.96E-05,4.70E-05,-1.81E-05,-0.019550323,0.04696846,-0.018119812,0,0
28.1920944,-1.98E-05,4.72E-05,-1.86E-05,-0.019788742,0.047206879,-0.018596649,1,0
28.1920944,-1.98E-05,4.77E-05,-1.88E-05,-0.019788742,0.047683716,-0.018835068,2,0
28.1920944,-2.00E-05,4.82E-05,-1.91E-05,-0.020027161,0.048160553,-0.019073486,3,0
28.1920944,-2.03E-05,4.86E-05,-1.93E-05,-0.020265579,0.04863739,-0.019311905,0,0
28.1920944,-2.07E-05,4.89E-05,-1.96E-05,-0.020742416,0.048875809,-0.019550323,1,0
28.1920944,-2.10E-05,4.94E-05,-1.96E-05,-0.020980835,0.049352646,-0.019550323,2,0
28.1920944,-2.07E-05,5.01E-05,-1.96E-05,-0.020742416,0.050067902,-0.019550323,3,0
28.1920944,-2.07E-05,5.08E-05,-1.93E-05,-0.020742416,0.050783157,-0.019311905,0,0
28.1920944,-2.12E-05,5.15E-05,-1.96E-05,-0.021219254,0.051498413,-0.019550323,1,0
28.1920944,-2.15E-05,5.20E-05,-1.98E-05,-0.021457672,0.05197525,-0.019788742,2,0
28.1920944,-2.15E-05,5.27E-05,-1.98E-05,-0.021457672,0.052690506,-0.019788742,3,0
28.1920944,-2.17E-05,5.32E-05,-1.98E-05,-0.021696091,0.053167343,-0.019788742,0,0
28.1920944,-2.17E-05,5.36E-05,-2.03E-05,-0.021696091,0.05364418,-0.020265579,1,0
28.1920944,-2.19E-05,5.41E-05,-2.05E-05,-0.021934509,0.054121017,-0.020503998,2,0
28.1920944,-2.19E-05,5.46E-05,-2.05E-05,-0.021934509,0.054597855,-0.020503998,3,0
28.1920944,-2.19E-05,5.51E-05,-2.10E-05,-0.021934509,0.055074692,-0.020980835,0,0
28.1920944,-2.22E-05,5.56E-05,-2.10E-05,-0.022172928,0.055551529,-0.020980835,1,0
28.1920944,-2.26E-05,5.60E-05,-2.10E-05,-0.022649765,0.056028366,-0.020980835,2,0
28.1920944,-2.31E-05,5.67E-05,-2.10E-05,-0.023126602,0.056743622,-0.020980835,3,0
28.1920944,-2.34E-05,5.75E-05,-2.12E-05,-0.023365021,0.057458878,-0.021219254,0,0
28.1920944,-2.36E-05,5.84E-05,-2.15E-05,-0.023603439,0.058412552,-0.021457672,1,0
28.1920944,-2.38E-05,5.89E-05,-2.12E-05,-0.023841858,0.058889389,-0.021219254,2,0
28.1920944,-2.41E-05,5.94E-05,-2.12E-05,-0.024080276,0.059366226,-0.021219254,3,0
28.1920944,-2.43E-05,6.01E-05,-2.12E-05,-0.024318695,0.060081482,-0.021219254,0,0
28.1920944,-2.48E-05,6.06E-05,-2.15E-05,-0.024795532,0.060558319,-0.021457672,1,0
28.1920944,-2.48E-05,6.10E-05,-2.15E-05,-0.024795532,0.061035156,-0.021457672,2,0
28.1920944,-2.50E-05,6.15E-05,-2.17E-05,-0.025033951,0.061511993,-0.021696091,3,0
